(-7.174430094663563e-16+0j) (-4.605647173308563e-16+0j) 0j 0j 0j 0j 0j 0j 0j (1.860313735927082e-17-2.2086565058881367e-16j) (1.860313735927082e-17+2.2086565058881367e-16j) (1.4897390730461458e-16+0j) (2.6068134421819327e-16+0j) (0.0527878480207294+0j) (0.149903485027217+0j) (0.16568637304080344+0j) (0.17512030215129523+0j) (0.23446005257727093+0j) (0.25429352532994126+0j) (0.26990153534874883+0j) (0.36310173737435014+0j) (0.3955227173187536+0j) (0.42393425130454926+0j) (0.4586557840122808+0j) (0.4753769971721349+0j) (0.5277524023885011+0j) (0.6025960749795625+0j) (0.6241060502511371+0j) (0.7033320837144925+0j) (0.7077255534088958+0j) (0.7866860088343123+0j) (0.8081795702070017+0j) (0.8802195789596806+0j) (0.9999999999999991+0j) (0.9999999999999993+0j) (0.9999999999999996+0j) (1.0000000000000002+0j) (1.0000000000000013+0j) (1.0000000000000018+0j) (1.0000000000000024+0j) (1.0000000000000075+0j) (1.0432223291666594+0j) (1.2321868554508493+0j) (1.2516891565797512+0j) (1.3559961843189499+0j) (1.362581573443122+0j) (1.433234889491317+0j) (1.5533865035858883+0j) (1.5818249352886353+0j) (1.6646233165415523+0j) (1.7483685558223083+0j) (1.8063276381931486+0j) (1.8712315704904576+0j) (1.9341801139300951+0j) (1.938487237789086+0j) (2.000000000000002+0j) (2.000000000000005+0j) (2.1986200422270894+0j) (2.3986556821732585+0j) (2.5314631632548483+0j) (2.551673954425726+0j) (2.5648521430971285+0j) (2.636717074211396+0j) (2.7248388764095384+0j) (2.7542771777761157+0j) (2.967333353140511+0j) (2.9999999999999973+0j) (3.0000000000000018+0j) (3.0000000000000018+0j) (3.000000000000003+0j) (3.0000000000000053+0j) (3.000000000000008+0j) (3.0294592482660287+0j) (3.5078840436504266+0j) (3.7027161633119507+0j) (3.856118274779794+0j) (3.9999999999999942+0j) (4.0000000000000036+0j) (4.000000000000004+0j) (4.000000000000007+0j) (4.000000000000008+0j) (4.000000000000015+0j) (4.154252862957899+0j) (4.514346342358007+0j) (4.809047870345996+0j) (4.814174712663597+0j) (4.832945182884383+0j) (4.9835749163085925+0j) (4.999999999999989+0j) (5.000000000000003+0j) (5.000000000000009+0j) (5.272251264416621+0j) (5.338608205541139+0j) (5.4530328887707356+0j) (5.83536122150673+0j) (5.8489506368840996+0j) (6.00000000000002+0j) (6.314862033915162+0j) (6.884880000597614+0j) (7.1755681519701335+0j) (7.424392087529204+0j) (7.943513407091596+0j) (8.618231782181342+0j) (9.092254565101873+0j) (9.438659952816497+0j) (9.863163346356634+0j) (9.875295578820094+0j) (10.140807356725531+0j) (11.121768997410388+0j) (11.340717363409219+0j) (11.506036984847778+0j) (12.614634770470825+0j) (13.527375527881302+0j) 
-4.987268813756035e-16 -1.9271831282905707e-16 -1.3049572259743404e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.2073285551146067e-16 2.6421650113158125e-16 9.12588883929251e-16 0.0746340164199876 0.12828562189325296 0.1585983614424911 0.18277039360265365 0.2715225916447779 0.3870790756602559 0.40252839855778283 0.42759053518922924 0.4547250921187441 0.5878640076564889 0.6256027733306396 0.6853236593904761 0.7234001321394599 0.9401978349911773 0.9999999999999968 0.999999999999998 0.9999999999999987 0.9999999999999988 0.9999999999999994 0.9999999999999996 1.0000000000000002 1.0000000000000002 1.0000000000000004 1.0000000000000009 1.0000000000000009 1.000000000000001 1.0000000000000016 1.1216376041502496 1.162333987071869 1.3077314484729803 1.4388635791997035 1.5610592639276708 1.7302954154371655 1.8594841114283571 1.9999999999999956 1.9999999999999998 2.000000000000005 2.0978608841360615 2.420905585284555 2.4350916313727535 2.6671656715880676 2.909559006183009 2.9999999999999973 2.9999999999999982 2.999999999999999 2.9999999999999996 2.9999999999999996 3.0 3.000000000000001 3.0000000000000018 3.000000000000004 3.0000000000000053 3.2258298454844234 3.3136729400690847 3.318402289496044 3.324302411729483 3.466377735577664 3.660401381841538 3.7661420492925677 3.894634697405412 4.0 4.000000000000001 4.000000000000001 4.000000000000002 4.000000000000002 4.669738564549338 4.701764112834896 5.1281425730485415 5.205760898820128 5.299469514359226 5.318213689777818 5.424629054540233 5.595436809038525 5.615130354095366 5.708305286861483 5.850192549142903 6.000000000000008 6.078945662107326 6.583328172497132 6.745004287129835 6.913387542955245 7.000000000000017 7.246677240335077 7.270792337508045 7.303526075376101 8.128465803853874 8.174090581790653 8.415241449446285 8.76865188707051 9.015475416924598 10.185884107909938 10.347094738698818 10.656698856704795 11.210053389980747 13.393545145802703 14.314479863653828 
(-7.366172387567631e-16-2.003264825913315e-16j) (-7.366172387567631e-16+2.003264825913315e-16j) (-1.4010856168617126e-16+0j) 0j 0j 0j 0j 0j 0j 0j 0j 0j (5.5431622238177e-16+0j) (8.1410723286593e-16+0j) (0.036121267191554556+0j) (0.051006874572057256+0j) (0.08793953638819502+0j) (0.0997765946365957+0j) (0.1616827534862508+0j) (0.25090071207465653+0j) (0.25722616903974815+0j) (0.2763604428187969+0j) (0.32917341381048+0j) (0.3308554779701743+0j) (0.33667905090050243+0j) (0.48002756623798365+0j) (0.5062848822508783+0j) (0.5174677023651971+0j) (0.5712821322490008+0j) (0.704073226808961+0j) (0.705920672410068+0j) (0.7489997956941105+0j) (0.7867268984434759+0j) (0.8178013713184727+0j) (0.8286332775549182+0j) (0.8536252842726952+0j) (0.9551811566981118+0j) (0.9999999999999989+0j) (1.0000000000000013+0j) (1.0354356097979582+0j) (1.0565826554178002+0j) (1.0884990307367972+0j) (1.1032599592533388+0j) (1.1435737576813259+0j) (1.1500015516910298+0j) (1.1736000857478133+0j) (1.3285400753600785+0j) (1.4434824503597927+0j) (1.4894663375569483+0j) (1.5180947333428116+0j) (1.6218276797568079+0j) (1.6270888874860283+0j) (1.6488035097998663+0j) (1.930048854448915+0j) (2.0000000000000018+0j) (2.0000000000000018+0j) (2.000000000000007+0j) (2.053051122783851+0j) (2.1500483074266694+0j) (2.2243136909219436+0j) (2.481092321679058+0j) (2.572452839034591+0j) (2.644717112084083+0j) (2.7092162989955755+0j) (2.999999999999997+0j) (3.000000000000001+0j) (3.0000000000000013+0j) (3.0000000000000044+0j) (3.083600722714473+0j) (3.1970385594353434+0j) (3.318060874102073+0j) (3.414495888589158+0j) (3.533857721451282+0j) (3.550857291946056+0j) (3.838048802765315+0j) (3.865774588861536+0j) (3.8712194215958426+0j) (3.8852634372338617+0j) (3.934466702548139+0j) (3.9999999999999987+0j) (4+0j) (4.000000000000002+0j) (4.000000000000003+0j) (4.0000000000000036+0j) (4.000000000000005+0j) (4.20396213499003+0j) (4.458503636899081+0j) (4.573957028421731+0j) (4.837815126020728+0j) (4.844438793439021+0j) (4.927788214558152+0j) (5.154191462586382+0j) (5.18744189678625+0j) (5.251685575859259+0j) (5.594478617117152+0j) (5.675522905213374+0j) (5.803100210172539+0j) (6.036881374800096+0j) (6.132255063752691+0j) (6.383138899985577+0j) (6.731344470709127+0j) (7.030968244737443+0j) (7.101828852794384+0j) (7.127387678870702+0j) (7.153468991078815+0j) (7.7311853815343445+0j) (8.115795497453444+0j) (8.189260738017408+0j) (8.752845136334788+0j) (9.24121425480884+0j) (11.208341167349152+0j) (11.614181790385805+0j) (13.557389713524936+0j) 
-1.3036343089049992e-15 -1.1956598318949354e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.027299151806649845 0.10680012435938534 0.15473233677544357 0.19549221085524743 0.21154779874460572 0.3283775843397165 0.3890809789864976 0.4679591266324647 0.48586307066470924 0.5260558273661139 0.6046706781241821 0.663938046121184 0.6861066824958115 0.710298221390474 0.7283892610633079 0.7402923658115704 0.7819738705961083 0.8204401726850677 0.8669881360117339 0.9999999999999982 0.9999999999999993 0.9999999999999996 1.0000000000000009 1.0000000000000018 1.0004559220573728 1.1558602389230004 1.2710642275701454 1.288775394033767 1.462502156792327 1.5219340038015778 1.6218827766564443 1.661815479683732 1.797957675297137 1.8169051547061965 1.9021229946657037 2.000000000000003 2.000000000000006 2.0778938841628953 2.131651251170813 2.4280067316837908 2.4808641597523757 2.598469761379463 2.7545973472679925 2.817102654514833 2.9412455745853916 2.999999999999997 3.000000000000001 3.0000000000000018 3.0000000000000044 3.0000000000000093 3.000000000000011 3.1596010689963228 3.1679430761608645 3.41021225075773 3.4485841624508637 3.539620826591825 3.999999999999999 4.000000000000001 4.000000000000002 4.000000000000002 4.000000000000003 4.000000000000009 4.00000000000001 4.32637812222855 4.363303881257768 4.647802650017018 4.8732834179665785 4.9999999999999964 5.000000000000003 5.0000000000000036 5.000000000000012 5.00000000000002 5.0861301976514985 5.097501328937157 5.467320420830166 5.523290224952005 6.162151001948106 6.200854180642894 6.539202814776205 6.6329437116875996 6.795195930239424 6.874130576115407 6.989620848105934 6.999999999999993 7.2998279008631375 7.404797970369872 7.6665996569666035 8.192006249076362 8.21057785073439 8.35147230737834 8.983810735577904 10.209258506122936 10.527364513974897 10.833912261248148 12.163143146544177 12.25665814100465 13.852927926689826 15.34657381216829 17.168585295431473 
-5.379613174563856e-16 -3.723624422787065e-16 -2.9737456221446253e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.754795552991534e-17 1.119703140454645e-16 1.9497037715232144e-16 3.713313715071092e-16 3.9211742580437624e-16 4.0965572889410597e-16 2.1530874472742104e-15 0.022737270317524434 0.062145625856299486 0.10927961789316727 0.12142604805071391 0.15278394272761425 0.1735143706167544 0.2679491924311217 0.3277086142481065 0.3829203932185799 0.3907675245508394 0.4549232131957087 0.49025813540264784 0.6211398030163 0.6320899044784314 0.6569213649919242 0.6897355146895934 0.7267597779385098 0.7779337591815834 0.8319137987095652 0.8821323703326513 0.9999999999999989 0.9999999999999989 0.9999999999999997 0.9999999999999997 1.0 1.0000000000000004 1.0000000000000009 1.0000000000000013 1.0000000000000027 1.1095574646111828 1.138240978948268 1.381275051663218 1.3924766781502373 1.4552906510978476 1.561072003693763 1.6101659797061556 1.6391231888327458 1.7169913346634809 1.8335815974403842 1.9267969861821843 1.9999999999999987 1.9999999999999993 2.0 2.0000000000000004 2.0000000000000004 2.147510983066565 2.3272485709635986 2.5078882567020475 2.6132502375912185 2.8936963553794115 3.0000000000000004 3.0000000000000004 3.0000000000000027 3.0000000000000027 3.0000000000000036 3.0000000000000044 3.0000000000000067 3.2602837536272644 3.296027055528905 3.732050807568869 3.8006998009508517 3.866898031799461 3.937274987745725 3.999999999999999 4.0 4.000000000000002 4.0000000000000036 4.0000000000000036 4.062904722797352 4.305480501129254 4.444824038317086 4.524358279922599 4.902049553267077 4.925596341946497 5.301006163410323 5.3340749426320215 5.983362749515213 5.986436725439289 6.316505320938845 6.406309721980065 7.591692689462772 7.963282357586034 8.12855568544173 8.772184527441846 9.728292038256942 10.366266139558567 11.034376503195436 
-7.608133383417013e-16 -8.727748737484669e-17 -8.681230546587202e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.397862814802848e-16 5.670615374897586e-16 1.4263660586928274e-15 0.07581807675877937 0.1160571784267494 0.19471517979606714 0.29125185630288936 0.29881037125415266 0.32732097509611063 0.328274980355979 0.47235566462603973 0.5397439458659565 0.5713528338990748 0.5926019357538748 0.6392870962177121 0.6784071820967231 0.7402246913256529 0.8227760855150873 0.8367954711293701 0.8434034236139036 0.9063137148244687 1.0000000000000009 1.0000000000000016 1.0000000000000016 1.0000000000000044 1.0458939119904258 1.106533251738783 1.1142901636934206 1.1653272733951139 1.3324477781574926 1.3472688672762547 1.3517086180628808 1.5506994837752732 1.708124113529795 1.7645515294259528 1.878956535117171 1.8956645133736143 1.9150584913283801 1.9999999999999991 2.000000000000001 2.1932423146208033 2.311330921444087 2.315214411810646 2.5134100364753986 2.5298865184346706 2.5673087688689726 2.7014968661235104 2.727036689073579 2.7783922787748074 2.999999999999998 2.9999999999999987 3.0 3.0000000000000004 3.0000000000000018 3.0000000000000084 3.535861429415548 3.59330605740988 3.823930633038372 3.8767966230604247 4.0 4.000000000000002 4.000000000000002 4.000000000000004 4.000000000000011 4.2022328556947075 4.577294939570489 4.6359382170180226 4.860633435004736 4.9186022534522005 5.000000000000008 5.000000000000027 5.035981994998006 5.07658337524415 5.1562678917852995 5.278867562106856 5.845926617091817 5.846114564382875 5.8513460923655645 5.892960613923697 5.92243648324662 5.999999999999994 6.932323405405971 7.281757030090457 7.450182685697818 7.680359799267888 8.00000000000001 8.286868927288888 8.593126308235227 8.93501524010806 9.517426477166419 10.1446362501475 12.073581540520816 18.084286697912162 
(-7.379819814232067e-16-1.58216702264853e-16j) (-7.379819814232067e-16+1.58216702264853e-16j) (-6.621141146886155e-16+0j) 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j (6.059259197009681e-16+0j) (9.219657053858268e-16+0j) (0.013358163463955207+0j) (0.04037281558123852+0j) (0.09899276607794356+0j) (0.17977156913747255+0j) (0.19547684530976353+0j) (0.24933929453478837+0j) (0.35828255576770607+0j) (0.41379713335451024+0j) (0.41853330800404465+0j) (0.45996468414047553+0j) (0.4911302753246292+0j) (0.5805964117675148+0j) (0.6212692563861989+0j) (0.6964429658802339+0j) (0.702031311737281+0j) (0.7275601549880153+0j) (0.7566063901362549+0j) (0.7957541346407283+0j) (0.8632174326145146+0j) (0.8772078648279987+0j) (0.9999999999999999+0j) (1.0000000000000002+0j) (1.0000000000000004-2.956724084988147e-16j) (1.0000000000000004+2.956724084988147e-16j) (1.000000000000001+0j) (1.0000000000000022+0j) (1.0530969586895933+0j) (1.141520952036077+0j) (1.1560871144114362+0j) (1.1691874992052855+0j) (1.4073653726787383+0j) (1.5165648974942056+0j) (1.6214043928598085+0j) (1.7837304734228163+0j) (2+0j) (2.000000000000001+0j) (2.0000000000000027+0j) (2.000000000000006+0j) (2.1045794799165436+0j) (2.1627102975159977+0j) (2.256347969397628+0j) (2.442772944813372+0j) (2.5528329708633195+0j) (2.9590769302050646+0j) (2.9999999999999982+0j) (2.9999999999999987+0j) (2.9999999999999996+0j) (3.0000000000000018+0j) (3.0702700573435004+0j) (3.2650138059303613+0j) (3.4515584605507232+0j) (3.5231346917088135+0j) (3.606257655771957+0j) (3.800960455685303+0j) (3.8670550878872447+0j) (3.9470051401505852+0j) (3.9999999999999947+0j) (3.9999999999999982+0j) (3.9999999999999987+0j) (4.000000000000002+0j) (4.000000000000009+0j) (4.000000000000011+0j) (4.655970635390712+0j) (4.851937214722303+0j) (4.9265781497432215+0j) (5.0000000000000036+0j) (5.000000000000006+0j) (5.000000000000023+0j) (5.316335867976211+0j) (5.382522845198262+0j) (5.562491990767303+0j) (5.607501467779759+0j) (5.7805398349109165+0j) (5.999999999999992+0j) (6.000000000000021+0j) (6.342532794573675+0j) (6.612431476801449+0j) (6.774286555505872+0j) (6.80717720944967+0j) (6.96592167910591+0j) (7.307471738840422+0j) (7.809897407247685+0j) (8.00000000000003+0j) (8.12470460292111+0j) (8.549010559774015+0j) (8.83549385500415+0j) (8.959279385872412+0j) (9.08297851669329+0j) (9.300440192489496+0j) (9.826788114808625+0j) (12.219468962209962+0j) 
(-1.097811652108328e-15+0j) (-7.100374947628554e-16-1.7814668029705586e-16j) (-7.100374947628554e-16+1.7814668029705586e-16j) (-6.136580223683548e-16+0j) (-1.2034186704834862e-16+0j) 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j (6.704424363386077e-17+0j) (2.7065759777627125e-16+0j) (4.309623431812129e-16+0j) (5.561286046918985e-16+0j) (0.0384126652549603+0j) (0.08917411424106868+0j) (0.14100302453372954+0j) (0.15745744904432768+0j) (0.4005847559170753+0j) (0.4537959709038376+0j) (0.49151880081932753+0j) (0.49521693246481335+0j) (0.563670256024397+0j) (0.631350628112759+0j) (0.6329408088542872+0j) (0.6441902210825425+0j) (0.7316195952413052+0j) (0.763657650723782+0j) (0.8427349571564353+0j) (0.853499229574931+0j) (0.8689047548527047+0j) (0.9497607395679408+0j) (0.9999999999999993+0j) (1.0000000000000002+0j) (1.0000000000000009+0j) (1.000000000000001+0j) (1.0000000000000024+0j) (1.0644192785976918+0j) (1.104395491927529+0j) (1.2150267362437612+0j) (1.2845957919457978+0j) (1.320356814437874+0j) (1.3624418229173099+0j) (1.4738423977352453+0j) (1.5520910757647468+0j) (1.5749590026257687+0j) (1.6155310952009188+0j) (1.6897308206274015+0j) (1.8798091835912627+0j) (1.9999999999999978+0j) (2.000000000000003+0j) (2.0000000000000036+0j) (2.2868396619350886+0j) (2.544888578737645+0j) (2.618375134324732+0j) (2.7645869568265216+0j) (2.8257845518853593+0j) (2.8593776949725678+0j) (2.9999999999999973+0j) (2.9999999999999982+0j) (2.999999999999999+0j) (2.999999999999999+0j) (2.999999999999999+0j) (2.9999999999999996+0j) (3+0j) (3.000000000000001+0j) (3.0000000000000067+0j) (3.0000000000000067+0j) (3.000000000000009+0j) (3.520522007318719+0j) (3.6952135308597573+0j) (3.787710597426523+0j) (3.8520284240158977+0j) (3.999999999999995+0j) (3.999999999999996+0j) (3.9999999999999973+0j) (3.999999999999999+0j) (4.139039854753243+0j) (4.3453609433968765+0j) (4.353596501790293+0j) (4.36233983285745+0j) (4.711277883365413+0j) (4.9244894526725105+0j) (4.999999999999992+0j) (5.10602783800228+0j) (5.107096376725457+0j) (5.5226507677298295+0j) (5.621429013698163+0j) (6.043176072871556+0j) (6.147457850973194+0j) (6.328204817651329+0j) (6.872963886786422+0j) (7.000000000000003+0j) (7.000000000000017+0j) (7.000000000000025+0j) (7.830753734404659+0j) (7.974528278539034+0j) (8.169869091079136+0j) (8.260557580652009+0j) (9.115946577674597+0j) (9.165077136853418+0j) (9.182549121374219+0j) (10.116051249860131+0j) (10.117832746327515+0j) (10.71865980407318+0j) (14.121044381599905+0j) 
-4.636727345705688e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.619286187522526e-16 9.476232043061016e-16 0.06520452372484027 0.12509940627556537 0.17012257413254586 0.1936906742386037 0.21172973401201922 0.2587975622252877 0.2796937763111352 0.3248610856967653 0.3592089668466584 0.41387521809142236 0.4187246674107477 0.5435004626764961 0.653855406328335 0.6591412597448472 0.7704414359138223 0.7878480240781862 0.8473158933952831 0.884446100732678 0.9274885714814856 0.9394688872205483 0.9999999999999996 0.9999999999999998 0.9999999999999999 1.2051119951965634 1.2526780181716686 1.2788819660069948 1.472275109965594 1.4850250689462199 1.4972552129884154 1.5188056959079856 1.5662741707260845 1.7199751695167191 1.8989099591468859 2.0000000000000004 2.0000000000000018 2.000000000000002 2.068405146538523 2.470123858730714 2.4867132838825716 2.527818624526085 2.78850325725653 2.8629083885387656 2.8763456209465543 2.999999999999998 2.9999999999999982 3.0 3.0000000000000013 3.081906748796382 3.3111078174659903 3.5146982345078146 3.561604726098573 3.596660073199557 3.7258143322602866 3.760123438041441 3.8530433594262443 3.9584916303939544 3.977959446188952 4.0 4.000000000000002 4.0000000000000036 4.000000000000005 4.000000000000009 4.428097678105358 4.627114204214657 5.000000000000026 5.115192363188283 5.170086486626034 5.229483493765651 5.25296655153627 5.322601175867276 5.6326963552672735 5.698838183226495 6.000000000000018 6.1780582779968585 6.239858634275139 6.633904562681186 6.651352998005306 6.973432585683382 7.000000000000019 7.036724415454461 7.2098314027686765 7.338948916307365 7.943428161973971 7.992642341807819 8.111411338769345 8.347630070500294 8.834876835554555 9.304308439002002 9.391115967773406 10.720174304096311 11.988563859464342 12.252414648997926 16.22231116318132 
-8.505140966183993e-16 -6.704702116042677e-16 -3.9481881369387303e-16 -2.3431342671991984e-16 -1.4801092405502223e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.1965136679088993e-16 3.7769314547809364e-16 5.113013757678412e-16 7.899703197343801e-16 0.026005241018687664 0.09352471827877706 0.12876441439732264 0.174065351899587 0.21622618302875157 0.2908530285136824 0.34621952615112433 0.39714218110913335 0.5007442851317595 0.5166273227289806 0.5428262609063803 0.6618350299896953 0.6689820226056492 0.7485020811388233 0.7515426353450945 0.7840984617500389 0.7984607422689628 0.8383168930189688 0.9764871141164876 1.0000000000000009 1.0000000000000013 1.0000000000000013 1.0982106597145227 1.1125543876434643 1.3818756159740309 1.4575485279229292 1.4653332575844615 1.5556880189348592 1.5831247791924687 1.6297892323351952 1.8367869680697229 1.9999999999999982 1.9999999999999984 2.0000000000000036 2.000000000000009 2.1009569340879337 2.266395547950181 2.4540056716987166 2.5738209056684176 2.6496874020576207 2.8545117267697764 2.999999999999997 2.999999999999998 2.9999999999999982 2.9999999999999982 2.999999999999999 2.9999999999999996 2.9999999999999996 3.0000000000000027 3.000000000000006 3.0000000000000124 3.081940284346172 3.134847552632153 3.2686765852804727 3.349666086523292 3.645988089522684 3.785264672320072 3.8247310291247167 3.9051326315479433 3.99999999999999 3.9999999999999933 3.9999999999999987 3.999999999999999 4.0 4.000000000000001 4.000000000000014 4.370911533295869 4.797204152980673 4.902495700497408 4.926334669077405 5.000000000000001 5.151679477609227 5.15396914441424 5.927534268833409 6.1460238394306295 6.257170468675127 6.408126894699108 6.623849141312606 6.795474943036506 7.196655471557659 7.313743364413631 7.353534825686217 7.592570260940815 8.504320477547259 8.906581838836203 9.299072146712913 10.005140765445658 11.157146609286565 11.656331856509349 12.076368088901857 
(-2.6914732966572653e-16+0j) (-5.943969616556768e-18-1.0929890834251969e-16j) (-5.943969616556768e-18+1.0929890834251969e-16j) 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j 0j (1.1102230246251565e-16+0j) (3.042218156631075e-16+0j) (0.048748283019475605+0j) (0.115905335427736+0j) (0.17585366192364862+0j) (0.23273616948557824+0j) (0.26140455715205607+0j) (0.26794919243112364+0j) (0.3119983583923003+0j) (0.33115063028419484+0j) (0.3364689203235988+0j) (0.3761581859582638+0j) (0.3983208681168436+0j) (0.39832086811684564+0j) (0.5401095669639825+0j) (0.5593871780474915+0j) (0.6864656529310391+0j) (0.8174256195230898+0j) (0.850699862641432+0j) (0.975734942304234+0j) (0.9977857472159679+0j) (0.9999999999999987+0j) (0.9999999999999989+0j) (0.9999999999999991+0j) (0.9999999999999993+0j) (0.9999999999999998+0j) (1+0j) (1.0000000000000002+0j) (1.0000000000000009+0j) (1.0000000000000016+0j) (1.1874983556130345+0j) (1.3329011523429806+0j) (1.378394651312643+0j) (1.3963259123188956+0j) (1.6108199441137316+0j) (1.690033973951171+0j) (1.7782983856636183+0j) (1.8798294259558863+0j) (1.897950418257727+0j) (2+0j) (2.0000000000000004+0j) (2.0000000000000013+0j) (2.000000000000006+0j) (2.196293589892968+0j) (2.336181192742431+0j) (2.5260391170373193+0j) (2.9934412569265683+0j) (2.9999999999999964+0j) (2.999999999999999+0j) (3.0000000000000004+0j) (3.000000000000002+0j) (3.0000000000000053+0j) (3.0000000000000195+0j) (3.0972581304711433+0j) (3.17179804711819+0j) (3.339876886623184+0j) (3.3398768866232045+0j) (3.4830014387130204+0j) (3.5135311914358027+0j) (3.571770034868014+0j) (3.6390823526405858+0j) (3.732050807568876+0j) (3.885487805273692+0j) (3.9999999999999933+0j) (4.000000000000011+0j) (4.046966844284518+0j) (4.1665314511045395+0j) (4.382088096298682+0j) (4.757741048958644+0j) (4.8313826602358985+0j) (4.86369702870114+0j) (5.000000000000001+0j) (5.000000000000005+0j) (5.0000000000000115+0j) (5.000000000000021+0j) (5.2618022452599735+0j) (5.261802245259997+0j) (5.800029305668065+0j) (5.828083499082448+0j) (5.840617533575578+0j) (5.893596038201485+0j) (5.957581440403735+0j) (6.532892408886029+0j) (6.617480915428496+0j) (6.830064367481208+0j) (7.068433907969153+0j) (7.4890313936919854+0j) (7.678464099574719+0j) (7.800501052756617+0j) (8.405833763934842+0j) (8.895550417974885+0j) (9.707658508046551+0j) (10.263020267531758+0j) (10.45073978019531+0j) (11.558572492346576+0j) (12.128462163094603+0j) (13.02101046632914+0j) 
-6.332382268455216e-16 -4.2824242194039695e-16 -3.041677594323478e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.372421221437242e-16 1.0677246740860122e-15 1.1955717143093094e-15 0.05132491886707997 0.09130898882556723 0.13217888729198904 0.2247630043640908 0.26968162033388804 0.3248691294333544 0.3472075133101004 0.4547090128957671 0.46791111376204486 0.48226477107230087 0.5043217529921734 0.5513683761132657 0.6072732971998951 0.7253218008014861 0.7673759926529133 0.7792579527213571 0.8337293043443071 0.9999999999999976 0.9999999999999991 1.0 1.0000000000000002 1.0000000000000004 1.0000000000000007 1.0000000000000064 1.1619505276166748 1.1997486228557863 1.2666880663752913 1.4020388957445773 1.4608111271891115 1.5664010626996323 1.65270364466614 1.6946861821550085 1.7572702296367502 1.9014198071109103 1.9046677947207868 1.984584653014198 1.9999999999999982 2.0000000000000036 2.0000000000000084 2.167776052136885 2.710823384061894 2.9999999999999996 3.0 3.0000000000000004 3.0000000000000018 3.000000000000003 3.000000000000011 3.0521019480278455 3.1434494449166905 3.452409398301262 3.7087605073752488 3.8386864289316187 3.861125510688947 3.8793852415718137 3.999999999999999 4.000000000000003 4.000000000000006 4.00000000000001 4.214319743377521 4.362031437366628 4.4887033196886135 4.6312560480164064 4.795237303897086 4.799640112464793 4.999999999999997 4.999999999999998 4.999999999999999 5.000000000000011 5.000000000000015 5.2208908633990685 5.634294567765173 5.7499723071552795 5.999999999999996 6.000000000000006 6.039575976971394 6.286813451466114 6.45925568474614 6.54498293839615 7.137473516970332 7.301321248959596 7.590059701062735 7.964122012784638 8.383886005266142 9.044536866948299 9.327862137925113 9.330067517381107 12.023787931935917 14.28755333927715 
